@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
55,'2019/02/12 15:54:19:650',1,91,238,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
56,'2019/02/12 15:54:19:749',1,98,240,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
57,'2019/02/12 15:54:19:800',1,154,241,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
58,'2019/02/12 15:54:19:883',1,193,244,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
59,'2019/02/12 15:54:19:970',1,214,239,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
60,'2019/02/12 15:54:20:051',1,224,228,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
61,'2019/02/12 15:54:20:150',1,237,212,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
62,'2019/02/12 15:54:20:217',1,243,213,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
63,'2019/02/12 15:54:20:301',1,249,227,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
64,'2019/02/12 15:54:20:383',1,242,249,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
65,'2019/02/12 15:54:20:470',1,210,276,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
66,'2019/02/12 15:54:20:551',1,184,277,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
67,'2019/02/12 15:54:20:633',1,142,254,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
68,'2019/02/12 15:54:20:718',1,125,203,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
69,'2019/02/12 15:54:20:802',1,144,169,0.394414,0.52672,0.289613,0.667988,0.191573,0.34607,0.078407,0.547571,0.975498,0.137345,0.360659,0.655614,0.010927,0.42253,0.303263,0.150309,0.776819,0.959957,0.01152
